Arma,Coleccion,Grado,FloatMin,FloatMax
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.0,1.0
Galil AR | Firefight,The Chroma 3 Collection,restricted,0.0,1.0
Galil AR | Green Apple,The Train 2025 Collection,industrial,0.0,0.3
Galil AR | Grey Smoke,The Ascent Collection,consumer,0.0,0.6
Galil AR | Hunting Blind,The Mirage Collection,consumer,0.0,0.6
Galil AR | Kami,The Huntsman Collection,mil-spec,0.0,0.6
Galil AR | Metallic Squeezer,The Overpass 2024 Collection,mil-spec,0.0,0.6
Galil AR | NV,The Graphic Design Collection,industrial,0.0,0.47
Galil AR | O-Ranger,The Radiant Collection,industrial,0.0,0.75
Galil AR | Orange DDPAT,The eSports 2013 Collection,restricted,0.0,1.0
Galil AR | Phoenix Blacklight,The Havoc Collection,restricted,0.0,0.7
Galil AR | Rainbow Spoon,The Sport & Field Collection,classified,0.0,0.554422
Galil AR | Robin's Egg,The Ascent Collection,industrial,0.0,0.6
Galil AR | Rocket Pop,The Falchion Collection,mil-spec,0.0,1.0
Galil AR | Sage Spray,The Lake Collection,consumer,0.0,1.0
Galil AR | Sandstorm,The Winter Offensive Collection,mil-spec,0.1,0.6
Galil AR | Shattered,The Bravo Collection,mil-spec,0.0,1.0
Galil AR | Signal,The Danger Zone Collection,restricted,0.0,0.5
Galil AR | Stone Cold,The Shadow Collection,restricted,0.0,0.9
Galil AR | Sugar Rush,The Operation Hydra Collection,classified,0.0,0.55
Galil AR | Tornado,The Norse Collection,consumer,0.0,1.0
Galil AR | Tuxedo,The Bank Collection,mil-spec,0.0,0.8
Galil AR | Urban Rubble,The Chop Shop Collection,industrial,0.0,0.5
Galil AR | Vandal,The Operation Broken Fang Collection,mil-spec,0.0,1.0
Galil AR | VariCamo,The Safehouse Collection,industrial,0.0,0.6
Galil AR | Winter Forest,The Office Collection,industrial,0.0,1.0
Glock-18 | AXIA,The Sport & Field Collection,classified,0.0,0.7
Glock-18 | Block-18,The Kilowatt Collection,restricted,0.0,0.671875
Glock-18 | Blue Fissure,The Arms Deal 3 Collection,mil-spec,0.06,0.58
Glock-18 | Brass,The Dust Collection,restricted,0.0,1.0
Glock-18 | Bullet Queen,The Prisma 2 Collection,covert,0.0,1.0
Glock-18 | Bunsen Burner,The Falchion Collection,mil-spec,0.0,0.8
Glock-18 | Candy Apple,The Italy Collection,mil-spec,0.0,0.3
Glock-18 | Catacombs,The Chroma Collection,mil-spec,0.0,0.5
Glock-18 | Clear Polymer,The Snakebite Collection,mil-spec,0.0,1.0
Glock-18 | Coral Bloom,The Radiant Collection,mil-spec,0.0,0.752941
Glock-18 | Death Rattle,The Bank Collection,industrial,0.08,0.5
Glock-18 | Dragon Tattoo,The Arms Deal Collection,restricted,0.0,0.08
Glock-18 | Fade,The Assault Collection,restricted,0.0,0.08
Glock-18 | Franklin,The Havoc Collection,restricted,0.0,0.4
Glock-18 | Gamma Doppler,The 2021 Train Collection,covert,0.0,0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,covert,0.0,0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,covert,0.0,0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,covert,0.0,0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,covert,0.0,0.5
Glock-18 | Glockingbird,The Boreal Collection,restricted,0.0,0.67
Glock-18 | Gold Toof,The Gallery Collection,covert,0.0,0.730496
Glock-18 | Green Line,The Train 2025 Collection,mil-spec,0.0,1.0
Glock-18 | Grinder,The Vanguard Collection,restricted,0.02,0.25
Glock-18 | Groundwater,The Mirage Collection,industrial,0.0,1.0
Glock-18 | High Beam,The 2018 Inferno Collection,industrial,0.0,0.08
Glock-18 | Ironwork,The Glove Collection,mil-spec,0.0,1.0
Glock-18 | Moonrise,The Clutch Collection,restricted,0.0,0.65
Glock-18 | Neo-Noir,The Operation Broken Fang Collection,covert,0.0,1.0
Glock-18 | Night,The Overpass Collection,industrial,0.0,1.0
Glock-18 | Nuclear Garden,The 2018 Nuke Collection,restricted,0.0,0.7
Glock-18 | Ocean Topo,The Ascent Collection,industrial,0.0,0.6
Glock-18 | Off World,The Spectrum 2 Collection,mil-spec,0.0,1.0
Glock-18 | Oxide Blaze,The Danger Zone Collection,mil-spec,0.0,0.85
Glock-18 | Pink DDPAT,The 2021 Mirage Collection,restricted,0.0,1.0
Glock-18 | Ramese's Reach,The Anubis Collection,restricted,0.0,1.0
Glock-18 | Reactor,The Cache Collection,mil-spec,0.0,1.0
Glock-18 | Red Tire,The 2021 Vertigo Collection,industrial,0.0,0.55
Glock-18 | Royal Legion,The Wildfire Collection,restricted,0.0,1.0
Glock-18 | Sacrifice,The CS20 Collection,mil-spec,0.0,1.0
Glock-18 | Sand Dune,The Alpha Collection,industrial,0.0,1.0
Glock-18 | Shinobu,The Fever Collection,classified,0.0,1.0
Glock-18 | Snack Attack,The Operation Riptide Collection,classified,0.0,1.0
Glock-18 | Steel Disruption,The eSports 2014 Summer Collection,restricted,0.0,0.2
Glock-18 | Synth Leaf,The St. Marc Collection,restricted,0.0,0.7
Glock-18 | Teal Graf,The Overpass 2024 Collection,mil-spec,0.0,0.5
Glock-18 | Twilight Galaxy,The Chop Shop Collection,classified,0.0,0.2
Glock-18 | Umbral Rabbit,The Revolution Collection,restricted,0.0,0.75
Glock-18 | Vogue,The Fracture Collection,classified,0.0,0.75
Glock-18 | Warhawk,The Horizon Collection,mil-spec,0.0,1.0
Glock-18 | Wasteland Rebel,The Gamma Collection,covert,0.0,0.54
Glock-18 | Water Elemental,The Breakout Collection,classified,0.0,0.7
Glock-18 | Weasel,#CSGO_set_gamma_2,restricted,0.0,1.0
Glock-18 | Winterized,The Recoil Collection,mil-spec,0.0,1.0
Glock-18 | Wraiths,The Shadow Collection,mil-spec,0.0,0.8
M249 | Aztec,The CS20 Collection,restricted,0.0,0.75
M249 | Blizzard Marbleized,The Office Collection,industrial,0.0,1.0
M249 | Contrast Spray,The Overpass Collection,consumer,0.0,1.0
M249 | Deep Relief,The Operation Broken Fang Collection,mil-spec,0.0,1.0
M249 | Downtown,The Recoil Collection,restricted,0.0,0.65
M249 | Emerald Poison Dart,The Spectrum Collection,restricted,0.0,0.45
M249 | Gator Mesh,The Safehouse Collection,industrial,0.0,0.6
M249 | Humidor,The 2021 Mirage Collection,mil-spec,0.0,0.5
M249 | Hypnosis,The Gallery Collection,mil-spec,0.0,1.0
M249 | Impact Drill,The Chop Shop Collection,consumer,0.0,1.0
M249 | Jungle,The St. Marc Collection,consumer,0.0,1.0
M249 | Jungle DDPAT,The Alpha Collection,consumer,0.0,1.0
M249 | Magma,The Winter Offensive Collection,mil-spec,0.0,0.7
M249 | Midnight Palm,The 2021 Dust 2 Collection,industrial,0.0,0.5
M249 | Nebula Crusader,The Shadow Collection,restricted,0.0,1.0
M249 | O.S.I.P.R.,The Snakebite Collection,mil-spec,0.0,0.7
M249 | Predator,The Havoc Collection,consumer,0.0,1.0
M249 | Sage Camo,The Boreal Collection,consumer,0.0,0.6
M249 | Shipping Forecast,The Gods and Monsters Collection,industrial,0.0,0.5
M249 | Spectre,The Chroma 3 Collection,mil-spec,0.0,0.5
M249 | Spectrogram,The Graphic Design Collection,industrial,0.0,0.5
M249 | Submerged,The Anubis Collection,consumer,0.02,0.8
M249 | System Lock,The Chroma Collection,mil-spec,0.0,0.8
M249 | Warbird,The Shattered Web Collection,mil-spec,0.05,0.65
M4A1-S | Atomic Alloy,The Huntsman Collection,classified,0.0,0.9
M4A1-S | Basilisk,The Vanguard Collection,restricted,0.0,0.68
M4A1-S | Black Lotus,The Kilowatt Collection,classified,0.0,0.7
M4A1-S | Blood Tiger,The Arms Deal 2 Collection,mil-spec,0.0,0.3
M4A1-S | Blue Phosphor,The Control Collection,classified,0.0,0.08
M4A1-S | Boreal Forest,The Italy Collection,industrial,0.0,1.0
M4A1-S | Briefing,The Operation Hydra Collection,mil-spec,0.0,0.8
M4A1-S | Bright Water,The Bravo Collection,restricted,0.1,0.22
M4A1-S | Chantico's Fire,The Chroma 3 Collection,covert,0.0,0.99
M4A1-S | Control Panel,The 2018 Nuke Collection,classified,0.0,1.0
M4A1-S | Cyrex,The Breakout Collection,covert,0.0,0.5
M4A1-S | Dark Water,The Arms Deal Collection,restricted,0.1,0.26
M4A1-S | Decimator,The Spectrum Collection,classified,0.0,0.85
M4A1-S | Emphorosaur-S,The Revolution Collection,restricted,0.0,0.8
M4A1-S | Fade,The Sport & Field Collection,covert,0.0,0.08
M4A1-S | Fizzy POP,The 2021 Train Collection,mil-spec,0.0,0.57
M4A1-S | Flashback,The Glove Collection,restricted,0.0,1.0
M4A1-S | Glitched Paint,The Radiant Collection,restricted,0.0,0.67
M4A1-S | Golden Coil,The Shadow Collection,covert,0.0,1.0
M4A1-S | Guardian,The Winter Offensive Collection,classified,0.0,0.5
M4A1-S | Hot Rod,The Chop Shop Collection,classified,0.0,0.08
M4A1-S | Hyper Beast,The Chroma 2 Collection,covert,0.0,1.0
M4A1-S | Icarus Fell,The Gods and Monsters Collection,restricted,0.0,0.1
M4A1-S | Imminent Danger,The 2021 Vertigo Collection,covert,0.0,0.8
M4A1-S | Knight,The Cobblestone Collection,classified,0.0,0.1
M4A1-S | Leaded Glass,The Spectrum 2 Collection,classified,0.0,0.7
M4A1-S | Master Piece,The Overpass Collection,classified,0.0,1.0
M4A1-S | Mecha Industries,The Gamma Collection,covert,0.0,0.8
M4A1-S | Moss Quartz,The Norse Collection,industrial,0.0,0.5
M4A1-S | Mud-Spec,The Anubis Collection,industrial,0.0,0.73
M4A1-S | Night Terror,The Dreams & Nightmares Collection,restricted,0.0,0.7
M4A1-S | Nightmare,The Horizon Collection,classified,0.0,1.0
M4A1-S | Nitro,The Safehouse Collection,restricted,0.0,1.0
M4A1-S | Player Two,The Prisma 2 Collection,covert,0.0,0.84
M4A1-S | Printstream,The Operation Broken Fang Collection,covert,0.0,0.8
M4A1-S | Rose Hex,The Radiant Collection,mil-spec,0.0,0.5
M4A1-S | Solitude,Limited Edition Item,classified,0.0,0.7
M4A1-S | Stratosphere,The Ascent Collection,classified,0.0,0.8
M4A1-S | Vaporwave,The Gallery Collection,covert,0.0,0.597321
M4A1-S | VariCamo,The Dust 2 Collection,mil-spec,0.0,0.6
M4A1-S | Wash me plz,The Overpass 2024 Collection,industrial,0.0,0.58
M4A1-S | Welcome to the Jungle,The Ancient Collection,covert,0.0,1.0
M4A4 | Asiimov,The Winter Offensive Collection,covert,0.18,1.0
M4A4 | Bullet Rain,The eSports 2014 Summer Collection,covert,0.02,0.46
M4A4 | Buzz Kill,The Glove Collection,covert,0.0,0.7
M4A4 | Choppa,The Fever Collection,mil-spec,0.0,1.0
M4A4 | Converter,The 2018 Inferno Collection,mil-spec,0.0,0.4
M4A4 | Cyber Security,The Operation Broken Fang Collection,classified,0.0,0.98
M4A4 | Dark Blossom,The St. Marc Collection,industrial,0.0,0.5
M4A4 | Daybreak,The Rising Sun Collection,restricted,0.0,0.6
M4A4 | Desert Storm,The Dust Collection,industrial,0.0,1.0
M4A4 | Desert-Strike,The Huntsman Collection,covert,0.0,0.7
M4A4 | Desolate Space,The Gamma Collection,classified,0.0,1.0
M4A4 | Etch Lord,The Kilowatt Collection,restricted,0.0,1.0
M4A4 | Evil Daimyo,The Falchion Collection,restricted,0.0,0.52
M4A4 | Eye of Horus,The Anubis Collection,covert,0.0,0.7
M4A4 | Faded Zebra,The eSports 2013 Collection,mil-spec,0.0,1.0
M4A4 | Global Offensive,The Control Collection,mil-spec,0.0,0.7
M4A4 | Griffin,The Vanguard Collection,restricted,0.0,0.8
M4A4 | Hellfire,The Operation Hydra Collection,classified,0.0,0.5
M4A4 | Hellish,The Train 2025 Collection,classified,0.0,1.0
M4A4 | In Living Color,The Snakebite Collection,covert,0.0,0.79
M4A4 | Jungle Tiger,The Aztec Collection,industrial,0.0,1.0
M4A4 | Magnesium,The Danger Zone Collection,mil-spec,0.0,1.0
M4A4 | Mainframe,The 2018 Nuke Collection,industrial,0.0,0.5
M4A4 | Modern Hunter,The Militia Collection,restricted,0.0,1.0
M4A4 | Naval Shred Camo,The Ascent Collection,industrial,0.0,0.6
M4A4 | Neo-Noir,The Clutch Collection,covert,0.0,0.9
M4A4 | Poly Mag,The Recoil Collection,mil-spec,0.0,1.0
M4A4 | Polysoup,The Graphic Design Collection,restricted,0.0,0.64
M4A4 | Poseidon,The Gods and Monsters Collection,classified,0.0,0.33
M4A4 | Radiation Hazard,The Nuke Collection,mil-spec,0.0,1.0
M4A4 | Red DDPAT,The 2021 Dust 2 Collection,restricted,0.0,0.5
M4A4 | Royal Paladin,The Revolver Case Collection,covert,0.0,0.8
M4A4 | Sheet Lightning,The Boreal Collection,restricted,0.0,0.75
M4A4 | Spider Lily,The Operation Riptide Collection,restricted,0.0,1.0
M4A4 | Steel Work,The Radiant Collection,industrial,0.0,0.7
M4A4 | Temukau,The Revolution Collection,covert,0.0,0.8
M4A4 | The Battlestar,The Wildfire Collection,covert,0.0,0.64
M4A4 | The Coalition,The 2021 Train Collection,covert,0.0,1.0
M4A4 | The Emperor,The Prisma Collection,covert,0.0,0.8
M4A4 | Tooth Fairy,The Fracture Collection,classified,0.0,0.73
M4A4 | Tornado,The Inferno Collection,industrial,0.0,1.0
M4A4 | Turbine,The Gallery Collection,restricted,0.0,0.85
M4A4 | Urban DDPAT,The Train Collection,industrial,0.0,1.0
M4A4 | X-Ray,The eSports 2013 Winter Collection,covert,0.0,0.3
M4A4 | Zirka,The Bravo Collection,restricted,0.0,0.42
M4A4 | 龍王 (Dragon King),The Chroma Collection,classified,0.0,0.75
MAC-10 | #PaintKit_sp_palm_Tag,The Dust 2 Collection,industrial,0.0,1.0
MAC-10 | Acid Hex,The Boreal Collection,industrial,0.0,0.58
MAC-10 | Allure,The Fracture Collection,restricted,0.0,1.0
MAC-10 | Aloha,The Operation Hydra Collection,mil-spec,0.0,0.65
MAC-10 | Amber Fade,The Mirage Collection,mil-spec,0.0,0.4
MAC-10 | Bronzer,The Radiant Collection,consumer,0.0,0.8
MAC-10 | Button Masher,The Snakebite Collection,restricted,0.0,1.0
MAC-10 | Calf Skin,The 2018 Inferno Collection,industrial,0.0,1.0
MAC-10 | Candy Apple,The Train Collection,industrial,0.0,0.3
MAC-10 | Carnivore,The Gamma Collection,mil-spec,0.0,1.0
MAC-10 | Case Hardened,The 2021 Dust 2 Collection,restricted,0.0,1.0
MAC-10 | Classic Crate,The CS20 Collection,mil-spec,0.0,1.0
MAC-10 | Commuter,The Baggage Collection,industrial,0.0,1.0
MAC-10 | Copper Borre,The Norse Collection,mil-spec,0.0,0.5
MAC-10 | Curse,The Huntsman Collection,restricted,0.0,0.5
MAC-10 | Derailment,The Train 2025 Collection,restricted,0.0,0.7
MAC-10 | Disco Tech,The Prisma 2 Collection,classified,0.0,1.0
MAC-10 | Echoing Sands,The Anubis Collection,industrial,0.02,0.8
MAC-10 | Ensnared,The Dreams & Nightmares Collection,mil-spec,0.0,0.9
MAC-10 | Fade,The Chop Shop Collection,mil-spec,0.0,0.08
MAC-10 | Gold Brick,The Ancient Collection,restricted,0.0,0.7
MAC-10 | Graven,The Bravo Collection,restricted,0.0,1.0
MAC-10 | Heat,The Phoenix Collection,restricted,0.0,1.0
MAC-10 | Hot Snakes,The Havoc Collection,classified,0.0,1.0
MAC-10 | Indigo,The Cobblestone Collection,consumer,0.06,0.8
MAC-10 | Lapis Gator,The Wildfire Collection,mil-spec,0.0,0.5
MAC-10 | Last Dive,The Spectrum Collection,restricted,0.0,0.52
MAC-10 | Light Box,The Kilowatt Collection,mil-spec,0.0,1.0
MAC-10 | Malachite,The Chroma Collection,restricted,0.0,0.5
MAC-10 | Monkeyflage,The Recoil Collection,mil-spec,0.0,1.0
MAC-10 | Neon Rider,The Chroma 2 Collection,covert,0.0,0.45
MAC-10 | Nuclear Garden,The Cache Collection,mil-spec,0.0,0.7
MAC-10 | Oceanic,The Spectrum 2 Collection,mil-spec,0.0,0.6
MAC-10 | Pipe Down,The Danger Zone Collection,restricted,0.0,0.9
MAC-10 | Pipsqueak,The Overpass 2024 Collection,mil-spec,0.0,0.9
MAC-10 | Poplar Thicket,The Boreal Collection,mil-spec,0.0,0.68
MAC-10 | Propaganda,The 2021 Train Collection,classified,0.0,0.62
MAC-10 | Rangeen,The Shadow Collection,mil-spec,0.0,0.5
MAC-10 | Red Filigree,The Canals Collection,restricted,0.0,0.5
MAC-10 | Saibā Oni,The Gallery Collection,restricted,0.0,0.66
MAC-10 | Sakkaku,The Revolution Collection,restricted,0.21,0.79
MAC-10 | Sienna Damask,The 2021 Mirage Collection,consumer,0.0,0.6
MAC-10 | Silver,The Bank Collection,industrial,0.0,0.08
MAC-10 | Stalker,The Shattered Web Collection,covert,0.0,1.0
MAC-10 | Storm Camo,The Ascent Collection,consumer,0.0,0.637288
MAC-10 | Strats,The 2021 Vertigo Collection,consumer,0.0,0.6
MAC-10 | Surfwood,The St. Marc Collection,consumer,0.0,0.5
MAC-10 | Tatter,The Huntsman Collection,restricted,0.0,0.5
MAC-10 | Tornado,The Militia Collection,consumer,0.0,1.0
MAC-10 | Toybox,The Operation Riptide Collection,classified,0.0,1.0
MAC-10 | Ultraviolet,The eSports 2014 Summer Collection,mil-spec,0.0,1.0
MAC-10 | Urban DDPAT,The Vertigo Collection,consumer,0.0,1.0
MAC-10 | Whitefish,The Prisma Collection,mil-spec,0.0,1.0
MAG-7 | BI83 Spectrum,The Operation Riptide Collection,restricted,0.0,0.6
MAG-7 | Bulldozer,The Mirage Collection,restricted,0.0,1.0
MAG-7 | Carbon Fiber,The Control Collection,industrial,0.0,0.12
MAG-7 | Chainmail,The Norse Collection,industrial,0.0,0.22
MAG-7 | Cinquedea,The Canals Collection,classified,0.0,1.0
MAG-7 | Cobalt Core,The Shadow Collection,mil-spec,0.0,0.5
MAG-7 | Copper Coated,The Anubis Collection,mil-spec,0.0,1.0
MAG-7 | Copper Oxide,The Boreal Collection,consumer,0.0,0.65
MAG-7 | Core Breach,The 2018 Nuke Collection,restricted,0.0,1.0
MAG-7 | Counter Terrace,The Rising Sun Collection,mil-spec,0.0,0.65
MAG-7 | Firestarter,The Vanguard Collection,mil-spec,0.06,0.49
MAG-7 | Foresight,The Dreams & Nightmares Collection,mil-spec,0.0,0.7
MAG-7 | Hard Water,The Operation Hydra Collection,mil-spec,0.0,0.45
MAG-7 | Hazard,The Alpha Collection,mil-spec,0.0,1.0
MAG-7 | Heat,The Chroma 2 Collection,restricted,0.0,1.0
MAG-7 | Heaven Guard,The Phoenix Collection,mil-spec,0.0,0.4
MAG-7 | Insomnia,The Revolution Collection,mil-spec,0.0,1.0
MAG-7 | Irradiated Alert,The Nuke Collection,consumer,0.0,1.0
MAG-7 | Justice,The Prisma 2 Collection,classified,0.0,1.0
MAG-7 | Memento,The eSports 2013 Collection,mil-spec,0.02,0.18
MAG-7 | Metallic DDPAT,The Train Collection,industrial,0.0,0.08
MAG-7 | Monster Call,The Fracture Collection,restricted,0.0,1.0
MAG-7 | Navy Sheen,The 2021 Mirage Collection,consumer,0.0,0.55
MAG-7 | Petroglyph,#CSGO_set_gamma_2,restricted,0.0,0.44
MAG-7 | Popdog,The CS20 Collection,mil-spec,0.0,0.8
MAG-7 | Praetorian,The Wildfire Collection,restricted,0.0,0.45
MAG-7 | Prism Terrace,The 2021 Vertigo Collection,restricted,0.0,0.37
MAG-7 | Resupply,The Fever Collection,mil-spec,0.0,1.0
MAG-7 | Rust Coat,The 2018 Inferno Collection,consumer,0.0,1.0
MAG-7 | SWAG-7,The Clutch Collection,restricted,0.0,0.92
MAG-7 | Sand Dune,The Inferno Collection,consumer,0.0,1.0
MAG-7 | Seabird,The Chop Shop Collection,consumer,0.0,1.0
MAG-7 | Silver,The Cobblestone Collection,industrial,0.0,0.08
MAG-7 | Sonar,The Glove Collection,mil-spec,0.0,0.45
MAG-7 | Storm,The Overpass Collection,consumer,0.0,1.0
MAG-7 | Wildwood,The Sport & Field Collection,industrial,0.0,0.7
MP5SD | Acid Wash,The Shattered Web Collection,mil-spec,0.0,0.68
MP5SD | Agent,The CS20 Collection,restricted,0.0,1.0
MP5SD | Autumn Twilly,The 2021 Train Collection,restricted,0.0,0.58
MP5SD | Bamboo Garden,The St. Marc Collection,consumer,0.0,0.55
MP5SD | Co-Processor,The 2018 Nuke Collection,mil-spec,0.0,0.5
MP5SD | Condition Zero,The Operation Broken Fang Collection,mil-spec,0.0,1.0
MP5SD | Desert Strike,The Prisma 2 Collection,mil-spec,0.0,1.0
MP5SD | Dirt Drop,The 2018 Inferno Collection,consumer,0.06,0.8
MP5SD | Gauss,The Prisma Collection,restricted,0.0,1.0
MP5SD | Gold Leaf,The Boreal Collection,mil-spec,0.0,0.6
MP5SD | Kitbash,The Fracture Collection,restricted,0.0,0.8
MP5SD | Lab Rats,The Blacksite Collection,restricted,0.0,0.35
MP5SD | Lime Hex,The Ascent Collection,consumer,0.0,0.638225
MP5SD | Liquidation,The Revolution Collection,mil-spec,0.0,1.0
MP5SD | Necro Jr.,The Dreams & Nightmares Collection,mil-spec,0.0,1.0
MP5SD | Neon Squeezer,The Overpass 2024 Collection,industrial,0.2,0.9
MP5SD | Nitro,The Control Collection,industrial,0.0,1.0
MP5SD | Oxide Oasis,The 2021 Mirage Collection,classified,0.0,0.55
MP5SD | Phosphor,The Danger Zone Collection,classified,0.0,0.8
MP5SD | Savannah Halftone,The Sport & Field Collection,industrial,0.25,0.75
MP5SD | Statics,The Gallery Collection,mil-spec,0.0,1.0
MP7 | #PaintKit_sp_spray_army_Tag,The Safehouse Collection,consumer,0.0,1.0
MP7 | Abyssal Apparition,The Dreams & Nightmares Collection,classified,0.0,1.0
MP7 | Akoben,The Spectrum Collection,mil-spec,0.0,0.7
MP7 | Anodized Navy,The Italy Collection,mil-spec,0.0,0.08
MP7 | Armor Core,The Chroma 2 Collection,mil-spec,0.0,0.5
MP7 | Asterion,The Gods and Monsters Collection,consumer,0.0,0.55
MP7 | Astrolabe,The Graphic Design Collection,industrial,0.0,1.0
MP7 | Bloodsport,The Clutch Collection,covert,0.0,0.65
MP7 | Cirrus,The Glove Collection,mil-spec,0.0,0.75
MP7 | Fade,The 2018 Inferno Collection,restricted,0.0,0.25
MP7 | Forest DDPAT,The Bank Collection,consumer,0.0,1.0
MP7 | Full Stop,The Chop Shop Collection,mil-spec,0.0,0.6
MP7 | Groundwater,The Alpha Collection,consumer,0.0,1.0
MP7 | Guerrilla,The Operation Riptide Collection,mil-spec,0.0,1.0
MP7 | Gunsmoke,The Overpass Collection,industrial,0.0,1.0
MP7 | Impire,The Wildfire Collection,restricted,0.0,0.4
MP7 | Just Smile,The Kilowatt Collection,restricted,0.0,1.0
MP7 | Mischief,The Prisma Collection,mil-spec,0.1,1.0
MP7 | Motherboard,The 2018 Nuke Collection,industrial,0.0,0.5
MP7 | Nemesis,The Falchion Collection,classified,0.0,0.32
MP7 | Neon Ply,The Shattered Web Collection,restricted,0.0,1.0
MP7 | Ocean Foam,The eSports 2014 Summer Collection,restricted,0.0,0.08
MP7 | Olive Plaid,The Baggage Collection,consumer,0.0,0.58
MP7 | Orange Peel,The Mirage Collection,industrial,0.0,1.0
MP7 | Powercore,The Horizon Collection,restricted,0.0,0.8
MP7 | Prey,The 2021 Dust 2 Collection,consumer,0.0,0.48
MP7 | Scorched,The Norse Collection,consumer,0.0,1.0
MP7 | Short Ochre,The Radiant Collection,consumer,0.0,0.746575
MP7 | Skulls,The Arms Deal Collection,mil-spec,0.1,0.26
MP7 | Special Delivery,The Shadow Collection,restricted,0.0,0.62
MP7 | Sunbaked,The Anubis Collection,consumer,0.0,1.0
MP7 | Tall Grass,The Ancient Collection,industrial,0.0,0.65
MP7 | Teal Blossom,The St. Marc Collection,mil-spec,0.0,0.5
MP7 | Urban Hazard,The Breakout Collection,mil-spec,0.0,0.5
MP7 | Vault Heist,The Havoc Collection,industrial,0.0,0.6
MP7 | Whiteout,The Office Collection,mil-spec,0.0,1.0
MP9 | Airlock,#CSGO_set_gamma_2,classified,0.0,1.0
MP9 | Arctic Tri-Tone,The Sport & Field Collection,restricted,0.0,0.6
MP9 | Army Sheen,The Control Collection,consumer,0.0,0.3
MP9 | Bioleak,The Chroma 3 Collection,mil-spec,0.0,0.5
MP9 | Black Sand,The Clutch Collection,mil-spec,0.0,1.0
MP9 | Buff Blue,The Ascent Collection,consumer,0.0,0.7
MP9 | Bulldozer,The Assault Collection,restricted,0.0,1.0
MP9 | Capillary,The Horizon Collection,mil-spec,0.0,0.7
MP9 | Cobalt Paisley,The Ascent Collection,mil-spec,0.0,0.65
MP9 | Dark Age,The Cobblestone Collection,mil-spec,0.0,0.22
MP9 | Dart,The Vanguard Collection,mil-spec,0.0,0.46
MP9 | Deadly Poison,The Chroma Collection,mil-spec,0.0,1.0
MP9 | Dry Season,The Alpha Collection,consumer,0.0,1.0
MP9 | Featherweight,The Revolution Collection,mil-spec,0.0,1.0
MP9 | Food Chain,The Snakebite Collection,classified,0.0,1.0
MP9 | Goo,The Spectrum 2 Collection,restricted,0.0,0.6
MP9 | Green Plaid,The Baggage Collection,consumer,0.0,0.58
MP9 | Hot Rod,The Mirage Collection,mil-spec,0.0,0.08
MP9 | Hydra,The CS20 Collection,classified,0.0,1.0
MP9 | Hypnotic,The Arms Deal 2 Collection,restricted,0.0,0.08
MP9 | Latte Rush,The Train 2025 Collection,classified,0.0,1.0
MP9 | Modest Threat,The Danger Zone Collection,mil-spec,0.0,0.75
MP9 | Mount Fuji,The Operation Riptide Collection,restricted,0.0,0.55
MP9 | Multi-Terrain,The Radiant Collection,consumer,0.0,0.6
MP9 | Music Box,The 2021 Mirage Collection,mil-spec,0.0,0.55
MP9 | Nexus,The Fever Collection,mil-spec,0.0,1.0
MP9 | Old Roots,The 2021 Dust 2 Collection,industrial,0.0,0.5
MP9 | Orange Peel,The Safehouse Collection,industrial,0.0,1.0
MP9 | Pandora's Box,The Gods and Monsters Collection,mil-spec,0.0,0.3
MP9 | Pine,The Boreal Collection,consumer,0.0,0.7
MP9 | Rose Iron,The Winter Offensive Collection,restricted,0.0,0.3
MP9 | Ruby Poison Dart,The Falchion Collection,restricted,0.0,0.5
MP9 | Sand Dashed,The Dust 2 Collection,consumer,0.0,1.0
MP9 | Sand Scale,The Glove Collection,mil-spec,0.0,0.45
MP9 | Setting Sun,The Cache Collection,mil-spec,0.0,1.0
MP9 | Shredded,The Radiant Collection,mil-spec,0.0,0.6
MP9 | Slide,The 2018 Inferno Collection,consumer,0.06,0.8
MP9 | Stained Glass,The Canals Collection,restricted,0.0,0.5
MP9 | Starlight Protector,The Dreams & Nightmares Collection,covert,0.0,0.8
MP9 | Storm,The Overpass Collection,consumer,0.0,1.0
MP9 | Wild Lily,The St. Marc Collection,classified,0.0,0.7
Negev | #PaintKit_sp_palm_Tag,The Alpha Collection,industrial,0.0,1.0
Negev | Anodized Navy,The Assault Collection,mil-spec,0.0,0.08
Negev | Army Sheen,The Bank Collection,consumer,0.0,0.3
Negev | Boroque Sand,The Canals Collection,consumer,0.0,1.0
Negev | Bratatat,The eSports 2014 Summer Collection,mil-spec,0.0,1.0
Negev | Bulkhead,The 2018 Nuke Collection,industrial,0.0,0.5
Negev | CaliCamo,The Mirage Collection,industrial,0.0,0.6
Negev | Dazzle,#CSGO_set_gamma_2,mil-spec,0.1,0.65
Negev | Desert-Strike,The Breakout Collection,mil-spec,0.0,0.5
Negev | Drop Me,The Recoil Collection,mil-spec,0.0,1.0
Negev | Infrastructure,The 2021 Vertigo Collection,mil-spec,0.0,0.49
Negev | Lionfish,The Clutch Collection,restricted,0.0,0.55
