MarketHashName,PriceCents
AK-47 | Aquamarine Revenge (Battle-Scarred),2521
FAMAS | Half Sleeve (Well-Worn),9
FAMAS | Halftone Wash (Battle-Scarred),15
FAMAS | Halftone Wash (Factory New),134
FAMAS | Halftone Wash (Field-Tested),27
FAMAS | Halftone Wash (Minimal Wear),54
FAMAS | Halftone Wash (Well-Worn),43
FAMAS | Hexane (Factory New),271
FAMAS | Hexane (Field-Tested),223
FAMAS | Hexane (Minimal Wear),186
FAMAS | Hexane (Well-Worn),593
FAMAS | Macabre (Battle-Scarred),196
FAMAS | Macabre (Factory New),924
FAMAS | Macabre (Field-Tested),346
FAMAS | Macabre (Minimal Wear),313
FAMAS | Mecha Industries (Battle-Scarred),1720
FAMAS | Mecha Industries (Factory New),2230
FAMAS | Mecha Industries (Field-Tested),529
FAMAS | Mecha Industries (Minimal Wear),1070
FAMAS | Mecha Industries (Well-Worn),413
FAMAS | Meltdown (Factory New),9020
FAMAS | Meltdown (Field-Tested),4574
FAMAS | Meltdown (Minimal Wear),6039
FAMAS | Meltdown (Well-Worn),8405
FAMAS | Meow 36 (Battle-Scarred),2
FAMAS | Meow 36 (Factory New),29
FAMAS | Meow 36 (Field-Tested),4
FAMAS | Meow 36 (Minimal Wear),8
FAMAS | Meow 36 (Well-Worn),2
FAMAS | Neural Net (Battle-Scarred),64
FAMAS | Neural Net (Factory New),468
FAMAS | Neural Net (Field-Tested),75
FAMAS | Neural Net (Minimal Wear),127
FAMAS | Neural Net (Well-Worn),73
FAMAS | Night Borre (Battle-Scarred),649
FAMAS | Night Borre (Factory New),1014
FAMAS | Night Borre (Field-Tested),931
FAMAS | Night Borre (Minimal Wear),1091
FAMAS | Night Borre (Well-Worn),645
FAMAS | Palm (Battle-Scarred),2
FAMAS | Palm (Factory New),19
FAMAS | Palm (Field-Tested),2
FAMAS | Palm (Minimal Wear),5
FAMAS | Palm (Well-Worn),2
FAMAS | Prime Conspiracy (Factory New),12565
FAMAS | Prime Conspiracy (Field-Tested),11176
FAMAS | Prime Conspiracy (Minimal Wear),11381
FAMAS | Pulse (Factory New),1263
FAMAS | Pulse (Field-Tested),568
FAMAS | Pulse (Minimal Wear),1123
FAMAS | Pulse (Well-Worn),1277
FAMAS | Rapid Eye Movement (Battle-Scarred),94
FAMAS | Rapid Eye Movement (Factory New),978
FAMAS | Rapid Eye Movement (Field-Tested),111
FAMAS | Rapid Eye Movement (Minimal Wear),269
FAMAS | Rapid Eye Movement (Well-Worn),93
FAMAS | Roll Cage (Battle-Scarred),159
FAMAS | Roll Cage (Factory New),5265
FAMAS | Roll Cage (Field-Tested),293
FAMAS | Roll Cage (Minimal Wear),588
FAMAS | Roll Cage (Well-Worn),190
FAMAS | Sergeant (Battle-Scarred),195
FAMAS | Sergeant (Field-Tested),327
FAMAS | Sergeant (Minimal Wear),870
FAMAS | Sergeant (Well-Worn),236
FAMAS | Spitfire (Battle-Scarred),3516
FAMAS | Spitfire (Field-Tested),1711
FAMAS | Spitfire (Minimal Wear),6774
FAMAS | Spitfire (Well-Worn),1172
FAMAS | Styx (Factory New),2807
FAMAS | Styx (Field-Tested),471
FAMAS | Styx (Minimal Wear),847
FAMAS | Sundown (Factory New),15155
FAMAS | Survivor Z (Battle-Scarred),19
FAMAS | Survivor Z (Factory New),90
FAMAS | Survivor Z (Field-Tested),19
FAMAS | Survivor Z (Minimal Wear),57
FAMAS | Survivor Z (Well-Worn),34
FAMAS | Teardown (Battle-Scarred),14
FAMAS | Teardown (Factory New),170
FAMAS | Teardown (Field-Tested),29
FAMAS | Teardown (Minimal Wear),89
FAMAS | Teardown (Well-Worn),25
FAMAS | Valence (Battle-Scarred),205
FAMAS | Valence (Factory New),1034
FAMAS | Valence (Field-Tested),237
FAMAS | Valence (Minimal Wear),541
FAMAS | Valence (Well-Worn),220
FAMAS | Waters of Nephthys (Battle-Scarred),3191
FAMAS | Waters of Nephthys (Factory New),11136
FAMAS | Waters of Nephthys (Field-Tested),3517
FAMAS | Waters of Nephthys (Minimal Wear),5828
FAMAS | Waters of Nephthys (Well-Worn),6300
FAMAS | Yeti Camo (Battle-Scarred),94
FAMAS | Yeti Camo (Factory New),651
FAMAS | Yeti Camo (Field-Tested),175
FAMAS | Yeti Camo (Minimal Wear),441
FAMAS | Yeti Camo (Well-Worn),114
FAMAS | ZX Spectron (Battle-Scarred),149
FAMAS | ZX Spectron (Factory New),1304
FAMAS | ZX Spectron (Field-Tested),189
FAMAS | ZX Spectron (Minimal Wear),408
FAMAS | ZX Spectron (Well-Worn),145
Five-SeveN | Angry Mob (Battle-Scarred),312
Five-SeveN | Angry Mob (Factory New),4168
Five-SeveN | Angry Mob (Field-Tested),400
Five-SeveN | Angry Mob (Minimal Wear),871
Five-SeveN | Angry Mob (Well-Worn),405
Five-SeveN | Anodized Gunmetal (Factory New),1190
Five-SeveN | Anodized Gunmetal (Minimal Wear),1935
Five-SeveN | Autumn Thicket (Battle-Scarred),2
Five-SeveN | Autumn Thicket (Factory New),6
Five-SeveN | Autumn Thicket (Field-Tested),2
Five-SeveN | Autumn Thicket (Minimal Wear),4
Five-SeveN | Autumn Thicket (Well-Worn),2
Five-SeveN | Berries And Cherries (Factory New),16052
Five-SeveN | Berries And Cherries (Minimal Wear),13601
Five-SeveN | Boost Protocol (Factory New),889
Five-SeveN | Boost Protocol (Field-Tested),362
Five-SeveN | Boost Protocol (Minimal Wear),509
Five-SeveN | Boost Protocol (Well-Worn),313
Five-SeveN | Buddy (Battle-Scarred),46
Five-SeveN | Buddy (Factory New),270
Five-SeveN | Buddy (Field-Tested),54
Five-SeveN | Buddy (Minimal Wear),117
Five-SeveN | Buddy (Well-Worn),50
Five-SeveN | Candy Apple (Factory New),11867
Five-SeveN | Candy Apple (Minimal Wear),9006
Five-SeveN | Capillary (Battle-Scarred),23
Five-SeveN | Capillary (Factory New),61
Five-SeveN | Capillary (Field-Tested),33
Five-SeveN | Capillary (Minimal Wear),42
Five-SeveN | Capillary (Well-Worn),32
Five-SeveN | Case Hardened (Battle-Scarred),3413
Five-SeveN | Case Hardened (Factory New),2010
Five-SeveN | Case Hardened (Field-Tested),997
Five-SeveN | Case Hardened (Minimal Wear),1305
Five-SeveN | Case Hardened (Well-Worn),1129
Five-SeveN | Contractor (Battle-Scarred),352
Five-SeveN | Contractor (Factory New),1875
Five-SeveN | Contractor (Field-Tested),228
Five-SeveN | Contractor (Minimal Wear),702
Five-SeveN | Contractor (Well-Worn),456
Five-SeveN | Coolant (Battle-Scarred),2
Five-SeveN | Coolant (Factory New),4
Five-SeveN | Coolant (Field-Tested),2
Five-SeveN | Coolant (Minimal Wear),2
Five-SeveN | Coolant (Well-Worn),2
Five-SeveN | Copper Galaxy (Factory New),1057
Five-SeveN | Copper Galaxy (Field-Tested),1170
Five-SeveN | Copper Galaxy (Minimal Wear),905
Five-SeveN | Crimson Blossom (Factory New),19250
Five-SeveN | Crimson Blossom (Minimal Wear),13486
Five-SeveN | Fairy Tale (Battle-Scarred),2345
Five-SeveN | Fairy Tale (Factory New),9968
Five-SeveN | Fairy Tale (Field-Tested),2850
Five-SeveN | Fairy Tale (Minimal Wear),4718
Five-SeveN | Fairy Tale (Well-Worn),2264
Five-SeveN | Fall Hazard (Factory New),35180
Five-SeveN | Flame Test (Battle-Scarred),5
Five-SeveN | Flame Test (Factory New),33
Five-SeveN | Flame Test (Field-Tested),8
Five-SeveN | Flame Test (Minimal Wear),13
Five-SeveN | Flame Test (Well-Worn),7
Five-SeveN | Forest Night (Battle-Scarred),2
Five-SeveN | Forest Night (Factory New),27
Five-SeveN | Forest Night (Field-Tested),4
Five-SeveN | Forest Night (Minimal Wear),5
Five-SeveN | Forest Night (Well-Worn),2
Five-SeveN | Fowl Play (Battle-Scarred),192
Five-SeveN | Fowl Play (Factory New),1396
Five-SeveN | Fowl Play (Field-Tested),280
Five-SeveN | Fowl Play (Minimal Wear),690
Five-SeveN | Fowl Play (Well-Worn),230
Five-SeveN | Heat Treated (Battle-Scarred),476
Five-SeveN | Heat Treated (Factory New),2547
Five-SeveN | Heat Treated (Field-Tested),523
Five-SeveN | Heat Treated (Minimal Wear),753
Five-SeveN | Heat Treated (Well-Worn),504
Five-SeveN | Hot Shot (Battle-Scarred),188
Five-SeveN | Hot Shot (Factory New),4093
Five-SeveN | Hot Shot (Field-Tested),393
Five-SeveN | Hot Shot (Minimal Wear),795
Five-SeveN | Hot Shot (Well-Worn),285
Five-SeveN | Hybrid (Battle-Scarred),45
Five-SeveN | Hybrid (Factory New),318
Five-SeveN | Hybrid (Field-Tested),56
Five-SeveN | Hybrid (Minimal Wear),102
Five-SeveN | Hybrid (Well-Worn),48
Five-SeveN | Hyper Beast (Battle-Scarred),2915
Five-SeveN | Hyper Beast (Factory New),14035
Five-SeveN | Hyper Beast (Field-Tested),3518
Five-SeveN | Hyper Beast (Minimal Wear),5827
Five-SeveN | Hyper Beast (Well-Worn),3027
Five-SeveN | Jungle (Battle-Scarred),1085
Five-SeveN | Jungle (Factory New),4339
Five-SeveN | Jungle (Field-Tested),238
Five-SeveN | Jungle (Minimal Wear),538
Five-SeveN | Jungle (Well-Worn),225
Five-SeveN | Kami (Factory New),330
Five-SeveN | Kami (Field-Tested),140
Five-SeveN | Kami (Minimal Wear),233
Five-SeveN | Midnight Paintover (Battle-Scarred),6
Five-SeveN | Midnight Paintover (Factory New),29
Five-SeveN | Midnight Paintover (Field-Tested),8
Five-SeveN | Midnight Paintover (Minimal Wear),14
Five-SeveN | Midnight Paintover (Well-Worn),7
Five-SeveN | Monkey Business (Battle-Scarred),252
Five-SeveN | Monkey Business (Field-Tested),409
Five-SeveN | Monkey Business (Minimal Wear),1808
Five-SeveN | Monkey Business (Well-Worn),317
Five-SeveN | Neon Kimono (Factory New),106159
Five-SeveN | Neon Kimono (Field-Tested),54621
Five-SeveN | Neon Kimono (Minimal Wear),175436
Five-SeveN | Nightshade (Battle-Scarred),141
Five-SeveN | Nightshade (Factory New),258
Five-SeveN | Nightshade (Field-Tested),131
Five-SeveN | Nightshade (Minimal Wear),232
Five-SeveN | Nightshade (Well-Worn),164
Five-SeveN | Nitro (Battle-Scarred),7621
Five-SeveN | Nitro (Factory New),10846
Five-SeveN | Nitro (Minimal Wear),4965
Five-SeveN | Orange Peel (Battle-Scarred),4
Five-SeveN | Orange Peel (Factory New),32
Five-SeveN | Orange Peel (Field-Tested),5
Five-SeveN | Orange Peel (Minimal Wear),13
Five-SeveN | Orange Peel (Well-Worn),4
Five-SeveN | Retrobution (Battle-Scarred),86
Five-SeveN | Retrobution (Factory New),1114
Five-SeveN | Retrobution (Field-Tested),128
Five-SeveN | Retrobution (Minimal Wear),437
Five-SeveN | Retrobution (Well-Worn),73
Five-SeveN | Scrawl (Battle-Scarred),2
Five-SeveN | Scrawl (Factory New),34
Five-SeveN | Scrawl (Field-Tested),4
Five-SeveN | Scrawl (Minimal Wear),8
Five-SeveN | Scrawl (Well-Worn),2
Five-SeveN | Scumbria (Battle-Scarred),8
Five-SeveN | Scumbria (Factory New),50
Five-SeveN | Scumbria (Field-Tested),14
Five-SeveN | Scumbria (Minimal Wear),246
Five-SeveN | Scumbria (Well-Worn),9
Five-SeveN | Silver Quartz (Factory New),176
Five-SeveN | Silver Quartz (Field-Tested),33
Five-SeveN | Silver Quartz (Minimal Wear),89
Five-SeveN | Silver Quartz (Well-Worn),57
Five-SeveN | Sky Blue (Battle-Scarred),11
Five-SeveN | Sky Blue (Factory New),124
Five-SeveN | Sky Blue (Field-Tested),22
Five-SeveN | Sky Blue (Minimal Wear),79
Five-SeveN | Sky Blue (Well-Worn),101
Five-SeveN | Triumvirate (Battle-Scarred),215
Five-SeveN | Triumvirate (Factory New),869
Five-SeveN | Triumvirate (Field-Tested),213
Five-SeveN | Triumvirate (Minimal Wear),441
Five-SeveN | Triumvirate (Well-Worn),215
Five-SeveN | Urban Hazard (Factory New),338
Five-SeveN | Urban Hazard (Field-Tested),161
Five-SeveN | Urban Hazard (Minimal Wear),233
Five-SeveN | Violent Daimyo (Battle-Scarred),23
Five-SeveN | Violent Daimyo (Factory New),122
Five-SeveN | Violent Daimyo (Field-Tested),36
Five-SeveN | Violent Daimyo (Minimal Wear),56
Five-SeveN | Violent Daimyo (Well-Worn),36
Five-SeveN | Withered Vine (Battle-Scarred),366
Five-SeveN | Withered Vine (Factory New),478
Five-SeveN | Withered Vine (Field-Tested),386
Five-SeveN | Withered Vine (Minimal Wear),378
Five-SeveN | Withered Vine (Well-Worn),528
G3SG1 | Ancient Ritual (Battle-Scarred),236
G3SG1 | Ancient Ritual (Factory New),415
G3SG1 | Ancient Ritual (Field-Tested),266
G3SG1 | Ancient Ritual (Minimal Wear),278
G3SG1 | Ancient Ritual (Well-Worn),379
G3SG1 | Arctic Camo (Battle-Scarred),824
G3SG1 | Arctic Camo (Factory New),14071
G3SG1 | Arctic Camo (Field-Tested),969
G3SG1 | Arctic Camo (Minimal Wear),5862
G3SG1 | Arctic Camo (Well-Worn),544
G3SG1 | Azure Zebra (Factory New),291
G3SG1 | Azure Zebra (Field-Tested),429
G3SG1 | Azure Zebra (Minimal Wear),191
G3SG1 | Black Sand (Battle-Scarred),81
G3SG1 | Black Sand (Factory New),204
G3SG1 | Black Sand (Field-Tested),114
G3SG1 | Black Sand (Minimal Wear),143
G3SG1 | Black Sand (Well-Worn),106
G3SG1 | Chronos (Factory New),63266
G3SG1 | Chronos (Well-Worn),31388
G3SG1 | Contractor (Factory New),7035
G3SG1 | Contractor (Field-Tested),756
G3SG1 | Contractor (Minimal Wear),402
G3SG1 | Demeter (Battle-Scarred),904
G3SG1 | Demeter (Factory New),1536
G3SG1 | Demeter (Field-Tested),717
G3SG1 | Demeter (Minimal Wear),705
G3SG1 | Demeter (Well-Worn),410
G3SG1 | Desert Storm (Battle-Scarred),2
G3SG1 | Desert Storm (Factory New),6
G3SG1 | Desert Storm (Field-Tested),2
G3SG1 | Desert Storm (Minimal Wear),2
G3SG1 | Desert Storm (Well-Worn),2
G3SG1 | Digital Mesh (Battle-Scarred),80
G3SG1 | Digital Mesh (Factory New),188
G3SG1 | Digital Mesh (Field-Tested),114
G3SG1 | Digital Mesh (Minimal Wear),104
G3SG1 | Digital Mesh (Well-Worn),100
G3SG1 | Dream Glade (Battle-Scarred),18
G3SG1 | Dream Glade (Factory New),140
G3SG1 | Dream Glade (Field-Tested),18
G3SG1 | Dream Glade (Minimal Wear),40
G3SG1 | Dream Glade (Well-Worn),19
G3SG1 | Flux (Battle-Scarred),619
G3SG1 | Flux (Factory New),5852
G3SG1 | Flux (Field-Tested),972
G3SG1 | Flux (Minimal Wear),2932
G3SG1 | Flux (Well-Worn),713
G3SG1 | Green Apple (Factory New),30
G3SG1 | Green Apple (Field-Tested),13
G3SG1 | Green Apple (Minimal Wear),19
G3SG1 | Green Cell (Battle-Scarred),2
G3SG1 | Green Cell (Factory New),6
G3SG1 | Green Cell (Field-Tested),2
G3SG1 | Green Cell (Minimal Wear),6
G3SG1 | Green Cell (Well-Worn),2
G3SG1 | High Seas (Battle-Scarred),57
G3SG1 | High Seas (Factory New),460
G3SG1 | High Seas (Field-Tested),68
G3SG1 | High Seas (Minimal Wear),167
G3SG1 | High Seas (Well-Worn),69
G3SG1 | Hunter (Battle-Scarred),7
G3SG1 | Hunter (Factory New),115
G3SG1 | Hunter (Field-Tested),18
G3SG1 | Hunter (Minimal Wear),23
G3SG1 | Hunter (Well-Worn),9
G3SG1 | Jungle Dashed (Battle-Scarred),2
G3SG1 | Jungle Dashed (Factory New),18
G3SG1 | Jungle Dashed (Field-Tested),2
G3SG1 | Jungle Dashed (Minimal Wear),2
G3SG1 | Jungle Dashed (Well-Worn),2
G3SG1 | Keeping Tabs (Battle-Scarred),41
G3SG1 | Keeping Tabs (Factory New),240
G3SG1 | Keeping Tabs (Field-Tested),80
G3SG1 | Keeping Tabs (Minimal Wear),152
G3SG1 | Keeping Tabs (Well-Worn),69
G3SG1 | Murky (Factory New),301
G3SG1 | Murky (Field-Tested),66
G3SG1 | Murky (Minimal Wear),116
G3SG1 | New Roots (Factory New),3254
G3SG1 | New Roots (Field-Tested),2932
G3SG1 | New Roots (Minimal Wear),2975
G3SG1 | New Roots (Well-Worn),2939
G3SG1 | Orange Crash (Battle-Scarred),12
G3SG1 | Orange Crash (Factory New),77
G3SG1 | Orange Crash (Field-Tested),22
G3SG1 | Orange Crash (Minimal Wear),23
G3SG1 | Orange Crash (Well-Worn),11
G3SG1 | Orange Kimono (Battle-Scarred),288
G3SG1 | Orange Kimono (Factory New),1052
G3SG1 | Orange Kimono (Field-Tested),429
G3SG1 | Orange Kimono (Minimal Wear),528
G3SG1 | Orange Kimono (Well-Worn),310
G3SG1 | Polar Camo (Battle-Scarred),2
G3SG1 | Polar Camo (Factory New),29
G3SG1 | Polar Camo (Field-Tested),4
G3SG1 | Polar Camo (Minimal Wear),5
G3SG1 | Polar Camo (Well-Worn),2
G3SG1 | Red Jasper (Battle-Scarred),2
G3SG1 | Red Jasper (Factory New),5
G3SG1 | Red Jasper (Field-Tested),2
G3SG1 | Red Jasper (Minimal Wear),4
G3SG1 | Red Jasper (Well-Worn),2
G3SG1 | Safari Mesh (Battle-Scarred),361
G3SG1 | Safari Mesh (Factory New),4690
G3SG1 | Safari Mesh (Field-Tested),219
G3SG1 | Safari Mesh (Minimal Wear),286
G3SG1 | Safari Mesh (Well-Worn),328
G3SG1 | Scavenger (Battle-Scarred),33
G3SG1 | Scavenger (Factory New),182
G3SG1 | Scavenger (Field-Tested),48
G3SG1 | Scavenger (Minimal Wear),89
G3SG1 | Scavenger (Well-Worn),39
G3SG1 | Stinger (Battle-Scarred),32
G3SG1 | Stinger (Factory New),242
G3SG1 | Stinger (Field-Tested),56
G3SG1 | Stinger (Minimal Wear),130
G3SG1 | Stinger (Well-Worn),41
G3SG1 | The Executioner (Battle-Scarred),94
G3SG1 | The Executioner (Field-Tested),152
G3SG1 | The Executioner (Minimal Wear),1162
G3SG1 | The Executioner (Well-Worn),114
G3SG1 | VariCamo (Battle-Scarred),8
G3SG1 | VariCamo (Factory New),26
G3SG1 | VariCamo (Field-Tested),13
G3SG1 | VariCamo (Minimal Wear),21
G3SG1 | VariCamo (Well-Worn),7
G3SG1 | Ventilator (Factory New),34
G3SG1 | Ventilator (Field-Tested),13
G3SG1 | Ventilator (Minimal Wear),12
G3SG1 | Ventilator (Well-Worn),11
G3SG1 | Violet Murano (Factory New),4691
G3SG1 | Violet Murano (Field-Tested),4104
G3SG1 | Violet Murano (Minimal Wear),3832
Galil AR | Acid Dart (Battle-Scarred),11
Galil AR | Acid Dart (Factory New),82
Galil AR | Acid Dart (Field-Tested),20
Galil AR | Acid Dart (Minimal Wear),47
Galil AR | Acid Dart (Well-Worn),12
Galil AR | Akoben (Battle-Scarred),20
Galil AR | Akoben (Factory New),75
Galil AR | Akoben (Field-Tested),21
Galil AR | Akoben (Minimal Wear),45
Galil AR | Akoben (Well-Worn),26
Galil AR | Amber Fade (Factory New),3457
Galil AR | Amber Fade (Field-Tested),2848
Galil AR | Amber Fade (Minimal Wear),2660
Galil AR | Aqua Terrace (Factory New),29318
Galil AR | Black Sand (Battle-Scarred),18
Galil AR | Black Sand (Factory New),59
Galil AR | Black Sand (Field-Tested),28
Galil AR | Black Sand (Minimal Wear),28
Galil AR | Black Sand (Well-Worn),54
Galil AR | Blue Titanium (Factory New),542
Galil AR | CAUTION! (Factory New),7463
Galil AR | CAUTION! (Field-Tested),5580
Galil AR | CAUTION! (Minimal Wear),4717
Galil AR | Cerberus (Battle-Scarred),2463
Galil AR | Cerberus (Factory New),13984
Galil AR | Cerberus (Field-Tested),2810
Galil AR | Cerberus (Minimal Wear),6129
Galil AR | Cerberus (Well-Worn),3518
Galil AR | Chatterbox (Battle-Scarred),1289
Galil AR | Chatterbox (Field-Tested),9616
Galil AR | Chatterbox (Well-Worn),2338
Galil AR | Chromatic Aberration (Battle-Scarred),212
Galil AR | Chromatic Aberration (Factory New),2208
Galil AR | Chromatic Aberration (Field-Tested),271
Galil AR | Chromatic Aberration (Minimal Wear),588
Galil AR | Chromatic Aberration (Well-Worn),212
Galil AR | Cold Fusion (Battle-Scarred),5
Galil AR | Cold Fusion (Factory New),42
Galil AR | Cold Fusion (Field-Tested),4
Galil AR | Cold Fusion (Minimal Wear),8
Galil AR | Cold Fusion (Well-Worn),4
Galil AR | Connexion (Battle-Scarred),21
Galil AR | Connexion (Factory New),190
Galil AR | Connexion (Field-Tested),25
Galil AR | Connexion (Minimal Wear),62
Galil AR | Connexion (Well-Worn),39
Galil AR | Control (Battle-Scarred),19
Galil AR | Control (Factory New),290
Galil AR | Control (Field-Tested),28
Galil AR | Control (Minimal Wear),86
Galil AR | Control (Well-Worn),29
Galil AR | Crimson Tsunami (Battle-Scarred),222
Galil AR | Crimson Tsunami (Factory New),812
Galil AR | Crimson Tsunami (Field-Tested),216
Galil AR | Crimson Tsunami (Minimal Wear),447
Galil AR | Crimson Tsunami (Well-Worn),172
Galil AR | Destroyer (Battle-Scarred),2
Galil AR | Destroyer (Factory New),23
Galil AR | Destroyer (Field-Tested),4
Galil AR | Destroyer (Minimal Wear),8
Galil AR | Destroyer (Well-Worn),4
Galil AR | Dusk Ruins (Battle-Scarred),2111
Galil AR | Dusk Ruins (Factory New),2603
Galil AR | Dusk Ruins (Field-Tested),1231
Galil AR | Dusk Ruins (Minimal Wear),1350
Galil AR | Dusk Ruins (Well-Worn),2262
Galil AR | Eco (Battle-Scarred),417
Galil AR | Eco (Field-Tested),853
Galil AR | Eco (Minimal Wear),7535
Galil AR | Eco (Well-Worn),455
Galil AR | Firefight (Battle-Scarred),25
Galil AR | Firefight (Factory New),396
Galil AR | Firefight (Field-Tested),36
Galil AR | Firefight (Minimal Wear),108
Galil AR | Firefight (Well-Worn),30
Galil AR | Green Apple (Factory New),73
Galil AR | Green Apple (Field-Tested),16
Galil AR | Green Apple (Minimal Wear),23
Galil AR | Grey Smoke (Battle-Scarred),2
Galil AR | Grey Smoke (Factory New),7
Galil AR | Grey Smoke (Field-Tested),2
Galil AR | Grey Smoke (Minimal Wear),4
Galil AR | Grey Smoke (Well-Worn),2
Galil AR | Hunting Blind (Factory New),2932
Galil AR | Hunting Blind (Field-Tested),242
Galil AR | Hunting Blind (Minimal Wear),318
Galil AR | Kami (Battle-Scarred),185
Galil AR | Kami (Factory New),414
Galil AR | Kami (Field-Tested),154
Galil AR | Kami (Minimal Wear),238
Galil AR | Kami (Well-Worn),156
Galil AR | Metallic Squeezer (Battle-Scarred),34
Galil AR | Metallic Squeezer (Factory New),228
Galil AR | Metallic Squeezer (Field-Tested),46
Galil AR | Metallic Squeezer (Minimal Wear),89
Galil AR | Metallic Squeezer (Well-Worn),43
Galil AR | NV (Battle-Scarred),34
Galil AR | NV (Factory New),144
Galil AR | NV (Field-Tested),22
Galil AR | NV (Minimal Wear),45
Galil AR | NV (Well-Worn),14
Galil AR | O-Ranger (Battle-Scarred),12
Galil AR | O-Ranger (Factory New),159
Galil AR | O-Ranger (Field-Tested),20
Galil AR | O-Ranger (Minimal Wear),34
Galil AR | O-Ranger (Well-Worn),16
Galil AR | Orange DDPAT (Factory New),7623
Galil AR | Orange DDPAT (Field-Tested),1960
Galil AR | Orange DDPAT (Minimal Wear),2402
Galil AR | Phoenix Blacklight (Factory New),17852
Galil AR | Phoenix Blacklight (Field-Tested),6069
Galil AR | Phoenix Blacklight (Minimal Wear),8092
Galil AR | Phoenix Blacklight (Well-Worn),19042
Galil AR | Rainbow Spoon (Battle-Scarred),4501
Galil AR | Rainbow Spoon (Factory New),8814
Galil AR | Rainbow Spoon (Field-Tested),5160
Galil AR | Rainbow Spoon (Minimal Wear),5489
Galil AR | Rainbow Spoon (Well-Worn),5097
Galil AR | Robin's Egg (Battle-Scarred),11
Galil AR | Robin's Egg (Factory New),69
Galil AR | Robin's Egg (Field-Tested),23
Galil AR | Robin's Egg (Minimal Wear),36
Galil AR | Robin's Egg (Well-Worn),28
Galil AR | Rocket Pop (Battle-Scarred),30
Galil AR | Rocket Pop (Factory New),997
Galil AR | Rocket Pop (Field-Tested),94
Galil AR | Rocket Pop (Minimal Wear),258
Galil AR | Rocket Pop (Well-Worn),54
Galil AR | Sage Spray (Battle-Scarred),2
Galil AR | Sage Spray (Factory New),27
Galil AR | Sage Spray (Field-Tested),2
Galil AR | Sage Spray (Minimal Wear),2
Galil AR | Sage Spray (Well-Worn),2
Galil AR | Sandstorm (Battle-Scarred),84
Galil AR | Sandstorm (Field-Tested),111
Galil AR | Sandstorm (Minimal Wear),412
Galil AR | Sandstorm (Well-Worn),115
Galil AR | Shattered (Battle-Scarred),11727
Galil AR | Shattered (Factory New),2070
Galil AR | Shattered (Field-Tested),751
Galil AR | Shattered (Minimal Wear),734
Galil AR | Shattered (Well-Worn),786
Galil AR | Signal (Battle-Scarred),42
Galil AR | Signal (Factory New),256
Galil AR | Signal (Field-Tested),54
Galil AR | Signal (Minimal Wear),97
Galil AR | Signal (Well-Worn),52
Galil AR | Stone Cold (Battle-Scarred),123
Galil AR | Stone Cold (Factory New),1792
Galil AR | Stone Cold (Field-Tested),236
Galil AR | Stone Cold (Minimal Wear),530
Galil AR | Stone Cold (Well-Worn),169
Galil AR | Sugar Rush (Battle-Scarred),4807
Galil AR | Sugar Rush (Factory New),9607
Galil AR | Sugar Rush (Field-Tested),3897
Galil AR | Sugar Rush (Minimal Wear),6274
Galil AR | Tornado (Battle-Scarred),600
Galil AR | Tornado (Factory New),1420
Galil AR | Tornado (Field-Tested),875
Galil AR | Tornado (Minimal Wear),861
Galil AR | Tornado (Well-Worn),727
Galil AR | Tuxedo (Battle-Scarred),36
Galil AR | Tuxedo (Factory New),321
Galil AR | Tuxedo (Field-Tested),75
Galil AR | Tuxedo (Minimal Wear),182
Galil AR | Tuxedo (Well-Worn),246
Galil AR | Urban Rubble (Battle-Scarred),1759
Galil AR | Urban Rubble (Factory New),3037
Galil AR | Urban Rubble (Field-Tested),1498
Galil AR | Urban Rubble (Minimal Wear),1654
Galil AR | Vandal (Battle-Scarred),68
Galil AR | Vandal (Factory New),218
Galil AR | Vandal (Field-Tested),113
Galil AR | Vandal (Minimal Wear),110
Galil AR | Vandal (Well-Worn),80
Galil AR | VariCamo (Battle-Scarred),8
Galil AR | VariCamo (Factory New),27
Galil AR | VariCamo (Field-Tested),12
Galil AR | VariCamo (Minimal Wear),20
Galil AR | VariCamo (Well-Worn),8
Galil AR | Winter Forest (Battle-Scarred),10247
Galil AR | Winter Forest (Factory New),28199
Galil AR | Winter Forest (Field-Tested),1081
Galil AR | Winter Forest (Minimal Wear),2530
Glock-18 | AXIA (Battle-Scarred),4339
Glock-18 | AXIA (Factory New),9968
Glock-18 | AXIA (Field-Tested),5112
Glock-18 | AXIA (Minimal Wear),5929
Glock-18 | AXIA (Well-Worn),5124
Glock-18 | Block-18 (Battle-Scarred),56
Glock-18 | Block-18 (Factory New),283
Glock-18 | Block-18 (Field-Tested),61
Glock-18 | Block-18 (Minimal Wear),125
Glock-18 | Block-18 (Well-Worn),64
Glock-18 | Blue Fissure (Battle-Scarred),138
Glock-18 | Blue Fissure (Factory New),1644
Glock-18 | Blue Fissure (Field-Tested),91
Glock-18 | Blue Fissure (Minimal Wear),225
Glock-18 | Blue Fissure (Well-Worn),170
Glock-18 | Brass (Battle-Scarred),1574
Glock-18 | Brass (Factory New),9004
Glock-18 | Brass (Field-Tested),2006
Glock-18 | Brass (Minimal Wear),4330
Glock-18 | Brass (Well-Worn),2374
Glock-18 | Bullet Queen (Battle-Scarred),410
Glock-18 | Bullet Queen (Factory New),9764
Glock-18 | Bullet Queen (Field-Tested),625
